Player,Elo,Hard Elo,Clay Elo,Grass Elo
Moyuka Uchijima,1544.6,1503.8,1540.1,1388.3
Darya Astakhova,1544.0,1357.2,1535.3,1447.0
Kimberly Birrell,1542.8,1529.8,1398.2,1325.2
Yuriko Miyazaki,1542.5,1514.2,1399.5,1474.1
Sachia Vickery,1539.3,1525.6,1448.7,1447.6
Harmony Tan,1538.7,1498.0,1458.7,1549.9
Katie Volynets,1537.7,1485.8,1532.3,1487.5
Daria Snigur,1534.9,1492.1,1408.6,1464.1
Reka Luca Jani,1534.9,1351.6,1533.0,1375.6
Jessika Ponchet,1533.0,1502.2,1448.4,1434.6
Mai Hontama,1532.3,1511.8,1398.3,1496.7
Vera Lapko,1531.1,1532.0,1498.3,1439.5
Maddison Inglis,1530.8,1511.4,1367.3,1455.6
Kayla Day,1529.1,1489.8,1417.4,1403.5
Na Lae Han,1528.2,1506.8,1452.9,1379.0
Magali Kempen,1527.7,1518.7,1371.7,1438.9
Mandy Minella,1526.2,1524.8,1462.9,1441.6
Victoria Jimenez Kasintseva,1523.0,1503.7,1454.2,1467.3
Elvina Kalieva,1522.5,1514.4,1412.6,1400.3
Robin Anderson,1519.1,1501.9,1392.9,1412.4
Iryna Shymanovich,1518.3,1384.9,1513.9,1434.2
Caroline Dolehide,1517.9,1502.4,1450.1,1376.0
Katrina Scott,1515.8,1481.6,1406.7,1432.9
Irina Khromacheva,1514.7,1444.4,1490.7,1429.1
Chloe Paquet,1514.0,1477.6,1474.8,1362.1
Astra Sharma,1510.9,1472.7,1502.4,1460.2
Irina Bara,1509.9,1410.8,1480.5,1406.4
Alexandra Cadantu Ignatik,1509.4,1433.8,1491.9,1337.6
Kateryna Bondarenko,1509.0,1494.6,1429.4,1500.1
Maria Carle,1507.0,1480.9,1467.1,1455.7
Ylena In Albon,1504.2,1412.4,1474.1,1435.1
Su Jeong Jang,1504.1,1462.8,1477.9,1392.7
Elizabeth Mandlik,1503.0,1449.3,1409.3,1426.5
Sonay Kartal,1501.7,1433.1,1365.8,1471.2
Danielle Lao,1501.4,1477.5,1322.0,1480.3
Olivia Gadecki,1500.3,1463.8,1467.8,1396.3
Sada Nahimana,1499.8,1359.0,1473.0,1424.9
Laura Pigossi,1497.0,1421.9,1468.9,1383.0
Paula Ormaechea,1496.3,1420.2,1475.7,1374.8
Priscilla Hon,1495.1,1469.9,1385.0,1468.0
Lucie Havlickova,1495.0,1492.0,1457.0,1497.5
Tereza Smitkova,1485.2,1491.3,1405.4,1449.6
Marcela Zacarias,1484.5,1477.9,1385.6,1383.5
Elsa Jacquemot,1484.5,1461.3,1411.8,1376.0
Matilde Paoletti,1484.1,1357.0,1461.8,1379.0
Eudice Wong Chong,1483.7,1468.4,1422.6,1491.9
Peyton Stearns,1480.7,1457.9,1343.4,1415.4
Lesley Pattinama Kerkhove,1479.5,1435.9,1347.8,1454.8
Catherine Harrison,1478.9,1448.2,1290.8,1484.5
Raluka Serban,1478.5,1410.6,1485.3,1396.4
